  0.100000000000E+02  0.745103324761E+01  0.250611539441E+02  0.123562445764E-01
  0.200000000000E+02  0.145868940786E+02  0.252372099163E+02  0.483731494355E-01
  0.300000000000E+02  0.215170113612E+02  0.255156330492E+02  0.106882961217E+00
  0.400000000000E+02  0.282697473208E+02  0.258847888886E+02  0.187002982530E+00
  0.500000000000E+02  0.348382109558E+02  0.263327202401E+02  0.287744332008E+00
  0.600000000000E+02  0.412007546575E+02  0.268471819519E+02  0.407909960079E+00
  0.700000000000E+02  0.473306118114E+02  0.274159503511E+02  0.546088687011E+00
  0.800000000000E+02  0.532007343897E+02  0.280271735695E+02  0.700683261629E+00
  0.900000000000E+02  0.587863056334E+02  0.286696730410E+02  0.869950684486E+00
  0.100000000000E+03  0.640659975995E+02  0.293331630209E+02  0.105204541963E+01
  0.110000000000E+03  0.690225040471E+02  0.300083845600E+02  0.124506083841E+01
  0.120000000000E+03  0.736426552867E+02  0.306871653880E+02  0.144706676100E+01
  0.130000000000E+03  0.779173074053E+02  0.313624228035E+02  0.165614250699E+01
  0.140000000000E+03  0.818411250322E+02  0.320281266813E+02  0.187040570340E+01
  0.150000000000E+03  0.854123246448E+02  0.326792369911E+02  0.208803739027E+01
  0.160000000000E+03  0.886324091321E+02  0.333116266941E+02  0.230730390305E+01
  0.170000000000E+03  0.915059016541E+02  0.339219976095E+02  0.252657578523E+01
  0.180000000000E+03  0.940400752780E+02  0.345077942525E+02  0.274434374247E+01
  0.190000000000E+03  0.962446714422E+02  0.350671188120E+02  0.295923147899E+01
  0.200000000000E+03  0.981316019483E+02  0.355986492256E+02  0.317000519783E+01
  0.210000000000E+03  0.997146332796E+02  0.361015615675E+02  0.337557959215E+01
  0.220000000000E+03  0.101009056583E+03  0.365754575123E+02  0.357502027899E+01
  0.230000000000E+03  0.102031350363E+03  0.370202973596E+02  0.376754279061E+01
  0.240000000000E+03  0.102798845198E+03  0.374363389153E+02  0.395250840510E+01
  0.250000000000E+03  0.103329400466E+03  0.378240823697E+02  0.412941723922E+01
  0.260000000000E+03  0.103641102390E+03  0.381842211829E+02  0.429789912482E+01
  0.270000000000E+03  0.103751991034E+03  0.385175988632E+02  0.445770283898E+01
  0.280000000000E+03  0.103679821669E+03  0.388251714153E+02  0.460868425971E+01
  0.290000000000E+03  0.103441863563E+03  0.391079751407E+02  0.475079398167E+01
  0.300000000000E+03  0.103054737017E+03  0.393670994030E+02  0.488406486040E+01
  0.310000000000E+03  0.102534287615E+03  0.396036639197E+02  0.500859987162E+01
  0.320000000000E+03  0.101895495195E+03  0.398188001151E+02  0.512456058404E+01
  0.330000000000E+03  0.101152414122E+03  0.400136360617E+02  0.523215645819E+01
  0.340000000000E+03  0.100318140812E+03  0.401892845476E+02  0.533163510699E+01
  0.350000000000E+03  0.994048042758E+02  0.403468338287E+02  0.542327358754E+01
  0.360000000000E+03  0.984235754478E+02  0.404873406566E+02  0.550737074091E+01
  0.370000000000E+03  0.973846913072E+02  0.406118252086E+02  0.558424055607E+01
  0.380000000000E+03  0.962974901457E+02  0.407212675890E+02  0.565420650499E+01
  0.390000000000E+03  0.951704547747E+02  0.408166056067E+02  0.571759677624E+01
  0.400000000000E+03  0.940112609451E+02  0.408987335782E+02  0.577474032302E+01
  0.410000000000E+03  0.928268287367E+02  0.409685019393E+02  0.582596363623E+01
  0.420000000000E+03  0.916233751318E+02  0.410267174863E+02  0.587158815324E+01
  0.430000000000E+03  0.904064664114E+02  0.410741440943E+02  0.591192821584E+01
  0.440000000000E+03  0.891810693699E+02  0.411115037943E+02  0.594728949716E+01
  0.450000000000E+03  0.879516006464E+02  0.411394781069E+02  0.597796782434E+01
